first_name,last_name,company_name,industry,Job Title,address,city,county,state,zip,phone1,phone,email
Graciela,Ruta,Buckley Miller & Wright,Engineering,Chartered wealth manager,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,44023,440-780-8425,440-579-7763,gruta@cox.net
Cammy,Albares,Rousseaux,Accounting,Mortgage banker,56 E Morehead St,Laredo,Webb,TX,78045,956-537-6195,956-841-7216,calbares@gmail.com
Mattie,Poquette,Century Communications,Sales,Hedge fund principal,73 State Road 434 E,Phoenix,Maricopa,AZ,85013,602-277-4385,602-953-6360,mattie@aol.com
Meaghan,Garufi,Bolton,Consulting,Business systems analyst,69734 E Carrillo St,Mc Minnville,Warren,TN,37110,931-313-9635,931-235-7959,meaghan@hotmail.com
Gladys,Rim,Byxbee Company Pc,Business Administration,CFO,322 New Horizon Blvd,Milwaukee,Milwaukee,WI,53207,414-661-9598,414-377-2880,gladys.rim@rim.org
Yuki,Whobrey,Farmers Insurance Group,Business Administration,Ratings analyst,1 State Route 27,Taylor,Wayne,MI,48180,313-288-7937,313-341-4470,yuki_whobrey@aol.com
Fletcher,Flosi,Post Box Services Plus,Accounting,Bookkeeper,394 Manchester Blvd,Rockford,Winnebago,IL,61109,815-828-2147,815-426-5657,fletcher.flosi@yahoo.com
Bette,Nicka,Sport En Art,Finance,Trust officer,6 S 33rd St,Aston,Delaware,PA,19014,610-545-3615,610-492-4643,bette_nicka@cox.net
Veronika,Inouye,C 4 Network Inc,Sales,Staffing consultant,6 Greenleaf Ave,San Jose,Santa Clara,CA,95111,408-540-1785,408-813-4592,vinouye@aol.com
Willard,Kolmetz,Ingalls,Engineering,Retirement plan counselor,618 W Yakima Ave,Irving,Dallas,TX,75062,972-303-9197,972-896-4882,willard@hotmail.com
Maryann,Royster,Franklin,Business Administration,Systems administrator,74 S Westgate St,Albany,Albany,NY,12204,518-966-7987,518-448-8982,mroyster@royster.com
Alisha,Slusarski,Wtlz Power,Consulting,Budget analyst,3273 State St,Middlesex,Middlesex,NJ,8846,732-658-3154,732-635-3453,alisha@slusarski.com
Allene,Iturbide,Ledecky,Automobile,Portfolio management marketing,1 Central Ave,Stevens Point,Portage,WI,54481,715-662-6764,715-530-9863,allene_iturbide@cox.net
Chanel,Caudy,Professional Image Inc,Medical,Portfolio manager,86 Nw 66th St #8673,Shawnee,Johnson,KS,66218,913-388-2079,913-899-1103,chanel.caudy@caudy.org
Ezekiel,Chui,Sider,Marketing,Assessor,2 Cedar Ave #84,Easton,Talbot,MD,21601,410-669-1642,410-235-8738,ezekiel@chui.com
Willow,Kusko,U Pull It,Banking,Project manager,90991 Thorburn Ave,New York,New York,NY,10011,212-582-4976,212-934-5167,wkusko@yahoo.com
Bernardo,Figeroa,Clark,Human Resources,Benefits officer,386 9th Ave N,Conroe,Montgomery,TX,77301,936-336-3951,936-597-3614,bfigeroa@aol.com
Ammie,Corrio,Moskowitz,Accounting,Chief financial officer,74874 Atlantic Ave,Columbus,Franklin,OH,43215,614-801-9788,614-648-3265,ammie@corrio.com
Francine,Vocelka,Cascade Realty Advisors,Business Administration,Software engineer,366 South Dr,Las Cruces,Dona Ana,NM,88011,505-977-3911,505-335-5293,francine_vocelka@vocelka.com
Ernie,Stenseth,Knwz Newsradio,Legal,Stockbroker,45 E Liberty St,Ridgefield Park,Bergen,NJ,7660,201-709-6245,201-387-9093,ernie_stenseth@aol.com
Albina,Glick,Giampetro,Legal,Hedge fund manager,4 Ralph Ct,Dunellen,Middlesex,NJ,8812,732-924-7882,732-782-6701,albina@glick.com
Alishia,Sergi,Milford Enterprises Inc,Medical,Leveraged buyout investor,2742 Distribution Way,New York,New York,NY,10025,212-860-1579,212-753-2740,asergi@gmail.com
Solange,Shinko,Mosocco,Human Resources,Mobile developer,426 Wolf St,Metairie,Jefferson,LA,70002,504-979-9175,504-265-8174,solange@shinko.com
Jose,Stockham,Tri State Refueler Co,Sales,Trust officer,128 Bransten Rd,New York,New York,NY,10011,212-675-8570,212-569-4233,jose@yahoo.com
Rozella,Ostrosky,Parkway Company,Automobile,Project manager,17 Morena Blvd,Camarillo,Ventura,CA,93012,805-832-6163,805-609-1531,rozella.ostrosky@ostrosky.com
Valentine,Gillian,Fbs Business Finance,Business Administration,Union organizer,775 W 17th St,San Antonio,Bexar,TX,78204,210-812-9597,210-300-6244,valentine_gillian@gmail.com
Kati,Rulapaugh,Eder Assocs Consltng Engrs Pc,Legal,Chartered wealth manager,6980 Dorsett Rd,Abilene,Dickinson,KS,67410,785-463-7829,785-219-7724,kati.rulapaugh@hotmail.com
Youlanda,Schemmer,Tri M Tool Inc,Human Resources,Mobile developer,2881 Lewis Rd,Prineville,Crook,OR,97754,541-548-8197,541-993-2611,youlanda@aol.com
Dyan,Oldroyd,International Eyelets Inc,Sales,Investment advisor,7219 Woodfield Rd,Overland Park,Johnson,KS,66204,913-413-4604,913-645-8918,doldroyd@aol.com
Roxane,Campain,Rapid Trading Intl,Consulting,Portfolio manager,1048 Main St,Fairbanks,Fairbanks North Star,AK,99708,907-231-4722,907-335-6568,roxane@hotmail.com
Lavera,Perin,Abc Enterprises Inc,Engineering,Trust officer,678 3rd Ave,Miami,Miami-Dade,FL,33196,305-606-7291,305-995-2078,lperin@perin.org
Erick,Ferencz,Cindy Turner Associates,Engineering,Stockbroker,20 S Babcock St,Fairbanks,Fairbanks North Star,AK,99712,907-741-1044,907-227-6777,erick.ferencz@aol.com
Fatima,Saylors,"Stanton, James D Esq",Engineering,Chief financial officer,2 Lighthouse Ave,Hopkins,Hennepin,MN,55343,952-768-2416,952-479-2375,fsaylors@saylors.org
Jina,Briddick,Grace Pastries Inc,Automobile,Ratings analyst,38938 Park Blvd,Boston,Suffolk,MA,2128,617-399-5124,617-997-5771,jina_briddick@briddick.com
Kanisha,Waycott,"Schroer, Gene E Esq",Human Resources,Trust officer,5 Tomahawk Dr,Los Angeles,Los Angeles,CA,90006,323-453-2780,323-315-7314,kanisha_waycott@yahoo.com
Emerson,Bowley,Knights Inn,Insurance,Ratings analyst,762 S Main St,Madison,Dane,WI,53711,608-336-7444,608-658-7940,emerson.bowley@bowley.org
Blair,Malet,Bollinger Mach Shp & Shipyard,Medical,Leveraged buyout investor,209 Decker Dr,Philadelphia,Philadelphia,PA,19132,215-907-9111,215-794-4519,bmalet@yahoo.com
Brock,Bolognia,Orinda News,Finance,Employee relations specialist,4486 W O St #1,New York,New York,NY,10003,212-402-9216,212-617-5063,bbolognia@yahoo.com
Lorrie,Nestle,Ballard Spahr Andrews,Legal,Leveraged buyout investor,39 S 7th St,Tullahoma,Coffee,TN,37388,931-875-6644,931-303-6041,lnestle@hotmail.com
Sabra,Uyetake,Lowy Limousine Service,Consulting,Cash manager,98839 Hawthorne Blvd #6101,Columbia,Richland,SC,29201,803-925-5213,803-681-3678,sabra@uyetake.org
Marjory,Mastella,Vicon Corporation,Finance,Controller,71 San Mateo Ave,Wayne,Delaware,PA,19087,610-814-5533,610-379-7125,mmastella@mastella.com
Karl,Klonowski,"Rossi, Michael M",Consulting,Bookkeeper,76 Brooks St #9,Flemington,Hunterdon,NJ,8822,908-877-6135,908-470-4661,karl_klonowski@yahoo.com
Tonette,Wenner,Northwest Publishing,Sales,Credit manager,4545 Courthouse Rd,Westbury,Nassau,NY,11590,516-968-6051,516-333-4861,twenner@aol.com
Amber,Monarrez,Branford Wire & Mfg Co,Business Administration,Controller,14288 Foster Ave #4121,Jenkintown,Montgomery,PA,19046,215-934-8655,215-329-6386,amber_monarrez@monarrez.org
Shenika,Seewald,East Coast Marketing,Accounting,Portfolio manager,4 Otis St,Van Nuys,Los Angeles,CA,91405,818-423-4007,818-749-8650,shenika@gmail.com
Delmy,Ahle,Wye Technologies Inc,Human Resources,Accounts receivable & payable specialist,65895 S 16th St,Providence,Providence,RI,2909,401-458-2547,401-559-8961,delmy.ahle@hotmail.com
Deeanna,Juhas,"Healy, George W Iv",Engineering,Ratings analyst,14302 Pennsylvania Ave,Huntingdon Valley,Montgomery,PA,19006,215-211-9589,215-417-9563,deeanna_juhas@gmail.com
Blondell,Pugh,Alpenlite Inc,Engineering,Content strategist,201 Hawk Ct,Providence,Providence,RI,2904,401-960-8259,401-300-8122,bpugh@aol.com
Jamal,Vanausdal,"Hubbard, Bruce Esq",Sales,Marketing technologist,53075 Sw 152nd Ter #615,Monroe Township,Middlesex,NJ,8831,732-234-1546,732-904-2931,jamal@vanausdal.org
Cecily,Hollack,Arthur A Oliver & Son Inc,Medical,CMO,59 N Groesbeck Hwy,Austin,Travis,TX,78731,512-486-3817,512-861-3814,cecily@hollack.org
Carmelina,Lindall,George Jessop Carter Jewelers,Sales,Mortgage banker,2664 Lewis Rd,Littleton,Douglas,CO,80126,303-724-7371,303-874-5160,carmelina_lindall@lindall.com
Maurine,Yglesias,"Schultz, Thomas C Md",Finance,Systems administrator,59 Shady Ln #53,Milwaukee,Milwaukee,WI,53214,414-748-1374,414-573-7719,maurine_yglesias@yglesias.com
Tawna,Buvens,H H H Enterprises Inc,Accounting,Portfolio management marketing,3305 Nabell Ave #679,New York,New York,NY,10009,212-674-9610,212-462-9157,tawna@gmail.com
Penney,Weight,Hawaiian King Hotel,Legal,Certified financial planner,18 Fountain St,Anchorage,Anchorage,AK,99515,907-797-9628,907-873-2882,penney_weight@aol.com
Elly,Morocco,Killion Industries,Automobile,Mutual fund analyst,7 W 32nd St,Erie,Erie,PA,16502,814-393-5571,814-420-3553,elly_morocco@gmail.com
Ilene,Eroman,"Robinson, William J Esq",Human Resources,Mutual fund analyst,2853 S Central Expy,Glen Burnie,Anne Arundel,MD,21061,410-914-9018,410-937-4543,ilene.eroman@hotmail.com
Vallie,Mondella,Private Properties,Insurance,Business systems analyst,74 W College St,Boise,Ada,ID,83707,208-862-5339,208-737-8439,vmondella@mondella.com
Kallie,Blackwood,Rowley Schlimgen Inc,Sales,Loan officer,701 S Harrison Rd,San Francisco,San Francisco,CA,94104,415-315-2761,415-604-7609,kallie.blackwood@gmail.com
Johnetta,Abdallah,Forging Specialties,Accounting,Compensation analyst,1088 Pinehurst St,Chapel Hill,Orange,NC,27514,919-225-9345,919-715-3791,johnetta_abdallah@aol.com
Bobbye,Rhym,"Smits, Patricia Garity",Accounting,Mortgage banker,30 W 80th St #1995,San Carlos,San Mateo,CA,94070,650-528-5783,650-811-9032,brhym@rhym.com
Micaela,Rhymes,H Lee Leonard Attorney At Law,Legal,Investor relations officer,20932 Hedley St,Concord,Contra Costa,CA,94520,925-647-3298,925-522-7798,micaela_rhymes@gmail.com
Tamar,Hoogland,A K Construction Co,Consulting,Compensation analyst,2737 Pistorio Rd #9230,London,Madison,OH,43140,740-343-8575,740-526-5410,tamar@hotmail.com
Moon,Parlato,"Ambelang, Jessica M Md",Legal,Leveraged buyout investor,74989 Brandon St,Wellsville,Allegany,NY,14895,585-866-8313,585-498-4278,moon@yahoo.com
Laurel,Reitler,Q A Service,Medical,Portfolio management marketing,6 Kains Ave,Baltimore,Baltimore City,MD,21215,410-520-4832,410-957-6903,laurel_reitler@reitler.com
Delisa,Crupi,Wood & Whitacre Contractors,Banking,CEO,47565 W Grand Ave,Newark,Essex,NJ,7105,973-354-2040,973-847-9611,delisa.crupi@crupi.com
Viva,Toelkes,Mark Iv Press Ltd,Sales,Budget analyst,4284 Dorigo Ln,Chicago,Cook,IL,60647,773-446-5569,773-352-3437,viva.toelkes@gmail.com
Elza,Lipke,Museum Of Science & Industry,Automobile,Portfolio management marketing,6794 Lake Dr E,Newark,Essex,NJ,7104,973-927-3447,973-796-3667,elza@yahoo.com
Devorah,Chickering,Garrison Ind,Medical,Loan officer,31 Douglas Blvd #950,Clovis,Curry,NM,88101,505-975-8559,505-950-1763,devorah@hotmail.com
Timothy,Mulqueen,Saronix Nymph Products,Human Resources,Webmaster,44 W 4th St,Staten Island,Richmond,NY,10309,718-332-6527,718-654-7063,timothy_mulqueen@mulqueen.org
Arlette,Honeywell,Smc Inc,Finance,Database administrator,11279 Loytan St,Jacksonville,Duval,FL,32254,904-775-4480,904-514-9918,ahoneywell@honeywell.com
Dominque,Dickerson,E A I Electronic Assocs Inc,Automobile,Investor relations officer,69 Marquette Ave,Hayward,Alameda,CA,94545,510-993-3758,510-901-7640,dominque.dickerson@dickerson.org
Lettie,Isenhower,"Conte, Christopher A Esq",Finance,Information architect,70 W Main St,Beachwood,Cuyahoga,OH,44122,216-657-7668,216-733-8494,lettie_isenhower@yahoo.com
Myra,Munns,Anker Law Office,Legal,Controller,461 Prospect Pl #316,Euless,Tarrant,TX,76040,817-914-7518,817-451-3518,mmunns@cox.net
Stephaine,Barfield,Beutelschies & Company,Banking,Hedge fund trader,47154 Whipple Ave Nw,Gardena,Los Angeles,CA,90247,310-774-7643,310-968-1219,stephaine@barfield.com
Lai,Gato,"Fligg, Kenneth I Jr",Accounting,Staffing consultant,37 Alabama Ave,Evanston,Cook,IL,60201,847-728-7286,847-957-4614,lai.gato@gato.org
Stephen,Emigh,"Sharp, J Daniel Esq",Legal,Accounts receivable & payable specialist,3777 E Richmond St #900,Akron,Summit,OH,44302,330-537-5358,330-700-2312,stephen_emigh@hotmail.com
Tyra,Shields,"Assink, Anne H Esq",Banking,Treasurer,3 Fort Worth Ave,Philadelphia,Philadelphia,PA,19106,215-255-1641,215-228-8264,tshields@gmail.com
Tammara,Wardrip,Jewel My Shop Inc,Sales,Digital marketing manager,4800 Black Horse Pike,Burlingame,San Mateo,CA,94010,650-803-1936,650-216-5075,twardrip@cox.net
Cory,Gibes,Chinese Translation Resources,Insurance,Loan officer,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,91776,626-572-1096,626-696-2777,cory.gibes@gmail.com
Danica,Bruschke,"Stevens, Charles T",Insurance,Webmaster,840 15th Ave,Waco,McLennan,TX,76708,254-782-8569,254-205-1422,danica_bruschke@gmail.com
Wilda,Giguere,"Mclaughlin, Luther W Cpa",Legal,Content strategist,1747 Calle Amanecer #2,Anchorage,Anchorage,AK,99501,907-870-5536,907-914-9482,wilda@cox.net
Elvera,Benimadho,Tree Musketeers,Finance,Mortgage banker,99385 Charity St #840,San Jose,Santa Clara,CA,95110,408-703-8505,408-440-8447,elvera.benimadho@cox.net
Carma,Vanheusen,Springfield Div Oh Edison Co,Finance,Assessor,68556 Central Hwy,San Leandro,Alameda,CA,94577,510-503-7169,510-452-4835,carma@cox.net
Malinda,Hochard,Logan Memorial Hospital,Legal,Financial analyst,55 Riverside Ave,Indianapolis,Marion,IN,46202,317-722-5066,317-472-2412,malinda.hochard@yahoo.com
Natalie,Fern,"Kelly, Charles G Esq",Banking,Loan officer,7140 University Ave,Rock Springs,Sweetwater,WY,82901,307-704-8713,307-279-3793,natalie.fern@hotmail.com
Lisha,Centini,Industrial Paper Shredders Inc,Engineering,Digital marketing manager,64 5th Ave #1153,Mc Lean,Fairfax,VA,22102,703-235-3937,703-475-7568,lisha@centini.org
